# SYNTHETIC DATA - FICTIONAL 'Kannan's Virtual Bank'. For AI-audit training only. No real persons or accounts.
txn_id,customer_id,date,channel,type,merchant_category,amount_inr,status
TXN50109,CUST1024,2026-03-21,NetBanking,CREDIT,Transfer,500,FAILED
TXN50110,CUST1010,2026-02-10,Branch,DEBIT,Fuel,5000,SUCCESS
TXN50111,CUST1028,2026-05-05,Branch,DEBIT,Salary-Credit,2300,SUCCESS
TXN50112,CUST1008,2026-03-30,ATM,DEBIT,Transfer,48000,SUCCESS
TXN50113,CUST1020,2026-01-12,Card,DEBIT,Transfer,120,SUCCESS
TXN50114,CUST1020,2026-02-24,Card,CREDIT,Salary-Credit,12000,SUCCESS
TXN50115,CUST1032,2026-04-21,Card,DEBIT,Insurance,2300,SUCCESS
TXN50116,CUST1023,2026-01-19,ATM,CREDIT,Grocery,25000,SUCCESS
TXN50117,CUST1005,2026-03-22,Branch,DEBIT,Restaurant,25000,SUCCESS
TXN50118,CUST1026,2026-01-06,NetBanking,DEBIT,Transfer,48000,FAILED
TXN50119,CUST1024,2026-01-23,ATM,CREDIT,Mobile-Recharge,25000,SUCCESS
TXN50120,CUST1034,2026-01-21,ATM,CREDIT,EMI-Auto,2300,SUCCESS
TXN50121,CUST1011,2026-01-20,Branch,DEBIT,Insurance,2300,PENDING
TXN50122,CUST1023,2026-03-31,Card,DEBIT,Electricity,5000,SUCCESS
TXN50123,CUST1039,2026-02-09,UPI,DEBIT,Pharmacy,48000,SUCCESS
TXN50124,CUST1038,2026-04-25,Branch,DEBIT,Transfer,12000,FAILED
TXN50125,CUST1021,2026-02-08,ATM,DEBIT,Pharmacy,5000,SUCCESS
TXN50126,CUST1038,2026-01-15,NetBanking,DEBIT,Salary-Credit,48000,SUCCESS
TXN50127,CUST1004,2026-04-05,NetBanking,DEBIT,Fuel,25000,SUCCESS
TXN50128,CUST1036,2026-01-11,ATM,CREDIT,Transfer,2300,SUCCESS
TXN50129,CUST1031,2026-05-09,Card,CREDIT,Pharmacy,500,FAILED
TXN50130,CUST1022,2026-01-22,Branch,DEBIT,Grocery,2300,SUCCESS
TXN50131,CUST1029,2026-05-15,Branch,DEBIT,EMI-Auto,12000,PENDING
TXN50132,CUST1025,2026-04-15,NetBanking,DEBIT,Grocery,12000,SUCCESS
TXN50133,CUST1007,2026-05-23,ATM,DEBIT,Transfer,1499,SUCCESS
TXN50134,CUST1038,2026-02-06,NetBanking,DEBIT,Restaurant,1499,SUCCESS
TXN50135,CUST1006,2026-03-21,Branch,DEBIT,EMI-Auto,1499,SUCCESS
TXN50136,CUST1034,2026-01-24,ATM,DEBIT,Grocery,12000,SUCCESS
TXN50137,CUST1014,2026-03-29,ATM,DEBIT,Electricity,1499,SUCCESS
TXN50138,CUST1007,2026-05-10,Branch,CREDIT,Insurance,120,SUCCESS
TXN50139,CUST1040,2026-02-03,Branch,DEBIT,Electricity,1499,FAILED
TXN50140,CUST1040,2026-02-12,ATM,DEBIT,EMI-Auto,2300,PENDING
TXN50141,CUST1040,2026-03-14,ATM,DEBIT,Mobile-Recharge,5000,PENDING
TXN50142,CUST1031,2026-02-19,NetBanking,DEBIT,Transfer,48000,SUCCESS
TXN50143,CUST1019,2026-04-08,Branch,DEBIT,Electricity,2300,FAILED
TXN50144,CUST1009,2026-03-06,UPI,DEBIT,EMI-Auto,500,SUCCESS
TXN50145,CUST1034,2026-02-01,NetBanking,DEBIT,Electricity,5000,SUCCESS
TXN50146,CUST1033,2026-02-07,ATM,DEBIT,Mobile-Recharge,48000,FAILED
TXN50147,CUST1002,2026-04-17,UPI,DEBIT,EMI-Auto,2300,SUCCESS
TXN50148,CUST1006,2026-04-06,Card,DEBIT,Fuel,12000,SUCCESS
TXN50149,CUST1009,2026-01-10,NetBanking,CREDIT,Pharmacy,1499,SUCCESS
TXN50150,CUST1031,2026-04-25,Branch,DEBIT,Fuel,120,SUCCESS
TXN50151,CUST1010,2026-05-21,Branch,DEBIT,Fuel,5000,SUCCESS
TXN50152,CUST1008,2026-01-13,Card,DEBIT,Transfer,48000,SUCCESS
TXN50153,CUST1032,2026-05-18,UPI,DEBIT,Transfer,2300,SUCCESS
TXN50154,CUST1019,2026-04-20,UPI,DEBIT,Mobile-Recharge,25000,SUCCESS
TXN50155,CUST1006,2026-05-15,NetBanking,DEBIT,Insurance,120,SUCCESS
TXN50156,CUST1031,2026-01-12,ATM,CREDIT,Salary-Credit,120,SUCCESS
TXN50157,CUST1005,2026-03-30,Card,CREDIT,Fuel,12000,SUCCESS
TXN50158,CUST1023,2026-05-20,NetBanking,CREDIT,Electricity,48000,PENDING
TXN50159,CUST1031,2026-02-16,Card,DEBIT,Pharmacy,120,SUCCESS
TXN50160,CUST1003,2026-02-21,UPI,DEBIT,Salary-Credit,25000,PENDING
